decimalLatitude,decimalLongitude,eventDate,species,vernacularName,recordID,dataResourceName
-18.513936,146.001118,2011-03-17T14:00:00Z,Casuarius casuarius,Southern Cassowary,88a63452-987e-4415-9c2d-cd3422c4a4e2,WildNet - Queensland Wildlife Data
-18.5,146.2,2017-06-30T14:00:00Z,Casuarius casuarius,Southern Cassowary,0220c392-69d1-4566-ac0c-5a435dddfa05,"BirdLife Australia, Birdata"
-18.483333,145.85,1911-04-10T14:00:00Z,Casuarius casuarius,Southern Cassowary,f8be64d6-ad97-490c-a9b0-b380806ec86b,Queensland Museum provider for OZCAM
-18.478877,145.900554,2011-07-04T14:00:00Z,Casuarius casuarius,Southern Cassowary,6a5727f8-2555-495e-8a6f-db5fd3f99588,WildNet - Queensland Wildlife Data
-18.475662,145.956227,2011-04-12T14:00:00Z,Casuarius casuarius,Southern Cassowary,0fea07c0-50d4-46a3-a909-6a9dd1e9ab90,WildNet - Queensland Wildlife Data
-18.474801,145.886811,2011-04-10T14:00:00Z,Casuarius casuarius,Southern Cassowary,c794e9ce-94c5-4c36-8da6-9818c1b2ce11,WildNet - Queensland Wildlife Data
-18.474801,145.886811,2011-04-10T14:00:00Z,Casuarius casuarius,Southern Cassowary,def47003-a1d6-4b13-a268-994536d5d8e2,WildNet - Queensland Wildlife Data
-18.465431,145.875265,2011-03-30T14:00:00Z,Casuarius casuarius,Southern Cassowary,75e716f5-aa0d-4291-9ca0-513393b8139a,WildNet - Queensland Wildlife Data
-18.465126,145.859446,1881-12-31T13:47:52Z,Casuarius casuarius,Southern Cassowary,5a5a884d-4b72-4d69-abd8-a57ed965bf07,WildNet - Queensland Wildlife Data
-18.465,145.851111,1867-10-31T13:47:52Z,Casuarius casuarius,Southern Cassowary,111690f5-b50d-4284-81e3-5bb0fbde472e,WildNet - Queensland Wildlife Data
-18.446781,145.861068,2011-04-12T14:00:00Z,Casuarius casuarius,Southern Cassowary,ec76e867-7425-4c17-9749-4669636d30bb,WildNet - Queensland Wildlife Data
