decimalLatitude,decimalLongitude,eventDate,species,recordID,dataResourceName,vernacularName
-17,145.833333,1988-10-19T14:00:00Z,Elaeocarpus bancroftii,adc5b733-48bb-431e-b3e5-d917d16256dc,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1981-08-04T14:00:00Z,Cryptocarya pleurosperma,9c64c720-181a-478c-be64-38f601660995,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-17,145.583333,1972-04-05T14:00:00Z,Elaeocarpus bancroftii,0029873c-0ab8-4509-bc13-1daa9ac55120,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1975-12-21T14:00:00Z,Elaeocarpus bancroftii,1274af91-f903-48a5-8137-3d955cae537c,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1978-01-31T14:00:00Z,Prunus turneriana,8c059a0e-582d-4a2b-bdde-a993f558bab5,Australian Tropical Herbarium (CNS) AVH data,Almondbark
-17,145.816667,1982-03-09T14:00:00Z,Elaeocarpus bancroftii,0988bcd0-5aaf-48a4-95fe-1730f3c9bcc3,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1976-09-20T14:00:00Z,Syzygium cormiflorum,85ab0635-0961-47c0-801a-dfb59f2eae83,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.83,1981-10-28T14:00:00Z,Elaeocarpus bancroftii,dbdafe09-0f9c-4768-8085-bc92e3b06292,NSW AVH feed,Quandong
-17,145.833333,1974-05-08T14:00:00Z,Syzygium cormiflorum,986d1702-668e-4637-a369-87844ea43bd9,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.833333,1972-08-08T14:00:00Z,Cryptocarya pleurosperma,466e38a5-38e2-4df6-be01-18e0cbcd6aa8,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-17,145.833333,1972-08-06T14:00:00Z,Cryptocarya oblata,b3bc2e39-4222-4f75-9d56-214e238b5e26,Australian Tropical Herbarium (CNS) AVH data,Bolly Silkwood
-17,145.833333,1981-10-28T14:00:00Z,Cryptocarya pleurosperma,82f38128-0fe3-4bcd-9fb5-75ecf1037015,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-17,145.833333,1976-11-24T14:00:00Z,Syzygium cormiflorum,37ac311c-b378-4978-8030-e4941d2f9ba1,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.833333,1975-12-21T14:00:00Z,Cryptocarya oblata,a77ba066-0931-4213-8e99-c9ffac6eb595,Australian Tropical Herbarium (CNS) AVH data,Bolly Silkwood
-17,145.833333,1975-09-29T14:00:00Z,Elaeocarpus bancroftii,8e938d7a-83c5-4250-a6e0-add5a407367e,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.583333,1972-04-05T14:00:00Z,Elaeocarpus bancroftii,d624f0bc-1f74-4575-ab0e-7a365ddc2136,Centre for Australian National Biodiversity Research (CANB) AVH data,Quandong
-17,145.833333,1975-07-29T14:00:00Z,Elaeocarpus bancroftii,122e163b-faa0-4479-a316-68d2c1f575a8,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.883333,1975-10-27T14:00:00Z,Syzygium cormiflorum,58d1fdcf-5b4c-4c78-a156-3178eb2e765e,Australian Tropical Herbarium (CNS) AVH data,Watergum
