"species","decimalLatitude","decimalLongitude"
"Pardalotus punctatus",-30.215079,153.134409
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-27.58333,152.58333
"Pardalotus punctatus",-34.981865,138.673577
"Pardalotus punctatus",-37.8358,144.2121
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-38.0322,146.2452
"Pardalotus punctatus",-36.7232,144.264
"Pardalotus punctatus",-37.381,145.9468
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-31.0234,152.803896
"Pardalotus punctatus",-29.737605,152.928691
"Pardalotus punctatus",-37.3529,145.9269
"Pardalotus punctatus",-17.5917,145.3
"Pardalotus punctatus",-37.4931,148.3706
"Pardalotus punctatus",-37.3873,143.3695
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.7555,148.7693
"Pardalotus punctatus",-35.89336,136.54931
"Pardalotus punctatus",-32.983174,148.419269
"Pardalotus punctatus",-35.3083,149.1
"Pardalotus punctatus",-27.494239,152.726071
"Pardalotus punctatus",-37.05037,145.1741
"Pardalotus punctatus",-37.7557,148.7523
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.8986,146.3648
"Pardalotus punctatus",-33.89527,150.975
"Pardalotus punctatus",-28.382812,152.903083
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-34.971869,138.668023
"Pardalotus punctatus",-37.6201,145.276
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.543,146.2671
"Pardalotus punctatus",-37.9145,146.2999
"Pardalotus punctatus",-37.6067,144.4404
"Pardalotus punctatus",-35.96167,137.20159
"Pardalotus punctatus",-17.38,145.38
"Pardalotus punctatus",-37.7541,148.6762
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-35.88978,145.0726
"Pardalotus punctatus",-33.748423,151.034486
"Pardalotus punctatus",-37.6409,144.7973
"Pardalotus punctatus",-38.2568,146.8929
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-33.782205,151.141298
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-27.456738,152.926068
"Pardalotus punctatus",-26.340078,152.330234
"Pardalotus punctatus",-43.04383,147.95015
"Pardalotus punctatus",-37.6111,145.2162
"Pardalotus punctatus",-38.2568,144.5263
"Pardalotus punctatus",-35.33514,138.72729
"Pardalotus punctatus",-37.3801,146.0552
"Pardalotus punctatus",-37.85,144.87
"Pardalotus punctatus",-36.8896,144.2884
"Pardalotus punctatus",-38.2568,144.5263
"Pardalotus punctatus",-34.50938,150.87773
"Pardalotus punctatus",-36.6166,145.9439
"Pardalotus punctatus",-38.2568,144.5263
"Pardalotus punctatus",-28.313282,152.873566
"Pardalotus punctatus",-37.8941,146.3592
"Pardalotus punctatus",-35.180492,149.295291
"Pardalotus punctatus",-37.422,145.8976
"Pardalotus punctatus",-32.981389,151.011944
"Pardalotus punctatus",-37.578,146.2509
"Pardalotus punctatus",-33.205394,148.304831
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-34.208238,140.631884
"Pardalotus punctatus",-37.906,146.3853
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.8355,144.6097
"Pardalotus punctatus",-37.8986,146.3648
"Pardalotus punctatus",-35.278176,149.118033
"Pardalotus punctatus",-37.5478,145.2664
"Pardalotus punctatus",-37.813285,147.043712
"Pardalotus punctatus",-37.9901,145.1353
"Pardalotus punctatus",-42.864977,147.331857
"Pardalotus punctatus",-36.7884,144.3973
"Pardalotus punctatus",-37.2826,143.5072
"Pardalotus punctatus",-37.431815,145.434623
"Pardalotus punctatus",-37.9894,145.7628
"Pardalotus punctatus",-33.897698,148.002735
"Pardalotus punctatus",-36.7884,144.3973
"Pardalotus punctatus",-27.506743,152.142748
"Pardalotus punctatus",-37.8932,146.3547
"Pardalotus punctatus",-37.4771,145.9115
"Pardalotus punctatus",-36.8022,144.3285
"Pardalotus punctatus",-37.8764,144.1753
"Pardalotus punctatus",-33.15902,134.82658
"Pardalotus punctatus",-37.6553,146.2116
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-33.665099,150.617833
"Pardalotus punctatus",-37.9481,146.3428
"Pardalotus punctatus",-37.8308,146.3143
"Pardalotus punctatus",-36.7884,144.3973
"Pardalotus punctatus",-37.7513,145.836
"Pardalotus punctatus",-36.5676,144.3142
"Pardalotus punctatus",-34.75,142.41667
"Pardalotus punctatus",-36.5568,143.7596
"Pardalotus punctatus",-42.12478,148.298057
"Pardalotus punctatus",-34.52183,148.0339
"Pardalotus punctatus",-33.07392,134.95241
"Pardalotus punctatus",-31.0234,152.803896
"Pardalotus punctatus",-38.0457,145.6388
"Pardalotus punctatus",-27.06952,152.68386
"Pardalotus punctatus",-37.4004,145.5613
"Pardalotus punctatus",-33.782671,150.981901
"Pardalotus punctatus",-33.897698,148.002735
"Pardalotus punctatus",-37.9276,146.3885
"Pardalotus punctatus",-27.424153,152.902777
"Pardalotus punctatus",-31.291408,149.030305
"Pardalotus punctatus",-36.7401,144.2142
"Pardalotus punctatus",-35.23264,139.13077
"Pardalotus punctatus",-36.81217,140.06813
"Pardalotus punctatus",-35.16363,149.39883
"Pardalotus punctatus",-36.3427,146.1938
"Pardalotus punctatus",-27.540076,152.209414
"Pardalotus punctatus",-37.7318,145.1846
"Pardalotus punctatus",-37.6258,145.2374
"Pardalotus punctatus",-37.9268,146.401
"Pardalotus punctatus",-38.0036,145.1327
"Pardalotus punctatus",-34.88174,138.78522
"Pardalotus punctatus",-33.897698,148.002735
"Pardalotus punctatus",-37.68768,145.5224
"Pardalotus punctatus",-26.55047,152.88036
"Pardalotus punctatus",-35.64053,138.18671
"Pardalotus punctatus",-42.8235,147.3186
"Pardalotus punctatus",-31.27032,148.959082
"Pardalotus punctatus",-36.7232,144.264
"Pardalotus punctatus",-27.606742,152.292746
"Pardalotus punctatus",-37.7068,145.7929
"Pardalotus punctatus",-37.9267,145.4919
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-28.560967,153.405939
"Pardalotus punctatus",-33.31869,136.60971
"Pardalotus punctatus",-37.6052,145.2481
"Pardalotus punctatus",-36.092,147.4739
"Pardalotus punctatus",-28.832557,151.937101
"Pardalotus punctatus",-37.952401,144.423394
"Pardalotus punctatus",-37.6037,145.2085
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.6479,145.3309
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-30.446808,150.870945
"Pardalotus punctatus",-37.9777,144.5141
"Pardalotus punctatus",-43.068889,147.806389
"Pardalotus punctatus",-37.461,148.3428
